0.000		0.431027		0.538993		0.538993		0.538993
0.001		0.431027		0.538993		0.538993		0.538993
0.002		0.505131		0.538993		0.538993		0.538993
0.003		0.519168		0.538993		0.538993		0.538993
0.004		0.515716		0.538993		0.538993		0.538993
0.005		0.526049		0.538993		0.538993		0.538993
0.006		0.535781		0.538993		0.538993		0.538993
0.007		0.528102		0.538993		0.538993		0.538993
0.008		0.531096		0.538993		0.538993		0.538993
0.009		0.532611		0.538993		0.538993		0.538993
0.01		0.538056		0.538993		0.538993		0.538993
0.011		0.537342		0.538993		0.538993		0.538993
0.012		0.535818		0.538993		0.538993		0.538993
0.013		0.536348		0.538993		0.538993		0.538993
0.014		0.537061		0.538993		0.538993		0.538993
0.015		0.539544		0.538993		0.538993		0.538993
0.016		0.541621		0.538993		0.538993		0.538993
0.017		0.540789		0.538993		0.538993		0.538993
0.018		0.540306		0.538993		0.538993		0.538993
0.019		0.540131		0.538993		0.538993		0.538993
0.02		0.540596		0.538993		0.538993		0.538993
0.021		0.541612		0.538993		0.538993		0.538993
0.022		0.543024		0.538993		0.538993		0.538993
0.023		0.544392		0.538993		0.538993		0.538993
0.024		0.544223		0.538993		0.538993		0.538993
0.025		0.543817		0.538993		0.538993		0.538993
0.026		0.543654		0.538993		0.538993		0.538993
0.027		0.543744		0.538993		0.538993		0.538993
0.028		0.544205		0.538993		0.538993		0.538993
0.029		0.545037		0.538993		0.538993		0.538993
0.03		0.545992		0.538993		0.538993		0.538993
0.031		0.546849		0.538993		0.538993		0.538993
0.032		0.547603		0.538993		0.538993		0.538993
0.033		0.547152		0.538993		0.538993		0.538993
0.034		0.546982		0.538993		0.538993		0.538993
0.035		0.54691		0.538993		0.538993		0.538993
0.036		0.547089		0.538993		0.538993		0.538993
0.037		0.547496		0.538993		0.538993		0.538993
0.038		0.548196		0.538993		0.538993		0.538993
0.039		0.548793		0.538993		0.538993		0.538993
0.04		0.54942		0.538993		0.538993		0.538993
0.041		0.550216		0.538993		0.538993		0.538993
0.042		0.550467		0.538993		0.538993		0.538993
0.043		0.550264		0.538993		0.538993		0.538993
0.044		0.55011		0.538993		0.538993		0.538993
0.045		0.550138		0.538993		0.538993		0.538993
0.046		0.550324		0.538993		0.538993		0.538993
0.047		0.550733		0.538993		0.538993		0.538993
0.048		0.551166		0.538993		0.538993		0.538993
0.049		0.551596		0.538993		0.538993		0.538993
0.05		0.552111		0.538993		0.538993		0.538993
0.051		0.552745		0.538993		0.538993		0.538993
0.052		0.553421		0.538993		0.538993		0.538993
0.053		0.553504		0.538993		0.538993		0.538993
0.054		0.553311		0.538993		0.538993		0.538993
0.055		0.55323		0.538993		0.538993		0.538993
0.056		0.553345		0.538993		0.538993		0.538993
0.057		0.553456		0.538993		0.538993		0.538993
0.058		0.55373		0.538993		0.538993		0.538993
0.059		0.554029		0.538993		0.538993		0.538993
0.06		0.554355		0.538993		0.538993		0.538993
0.061		0.554799		0.538993		0.538993		0.538993
0.062		0.555259		0.538993		0.538993		0.538993
0.063		0.555728		0.538993		0.538993		0.538993
0.064		0.556272		0.538993		0.538993		0.538993
0.065		0.556395		0.538993		0.538993		0.538993
0.066		0.556233		0.538993		0.538993		0.538993
0.067		0.556207		0.538993		0.538993		0.538993
0.068		0.556219		0.538993		0.538993		0.538993
0.069		0.556264		0.538993		0.538993		0.538993
0.07		0.556402		0.538993		0.538993		0.538993
0.071		0.556591		0.538993		0.538993		0.538993
0.072		0.556826		0.538993		0.538993		0.538993
0.073		0.557146		0.538993		0.538993		0.538993
0.074		0.557455		0.538993		0.538993		0.538993
0.075		0.557771		0.538993		0.538993		0.538993
0.076		0.558089		0.538993		0.538993		0.538993
0.077		0.558505		0.538993		0.538993		0.538993
0.078		0.558815		0.538993		0.538993		0.538993
0.079		0.558602		0.538993		0.538993		0.538993
0.08		0.558451		0.538993		0.538993		0.538993
0.081		0.558358		0.538993		0.538993		0.538993
0.082		0.55829		0.538993		0.538993		0.538993
0.083		0.558282		0.538993		0.538993		0.538993
0.084		0.55833		0.538993		0.538993		0.538993
0.085		0.558411		0.538993		0.538993		0.538993
0.086		0.558553		0.538993		0.538993		0.538993
0.087		0.558687		0.538993		0.538993		0.538993
0.088		0.558829		0.538993		0.538993		0.538993
0.089		0.558968		0.538993		0.538993		0.538993
0.09		0.559122		0.538993		0.538993		0.538993
0.091		0.559325		0.538993		0.538993		0.538993
0.092		0.559523		0.538993		0.538993		0.538993
0.093		0.559394		0.538993		0.538993		0.538993
0.094		0.559051		0.538993		0.538993		0.538993
0.095		0.558761		0.538993		0.538993		0.538993
0.096		0.558478		0.538993		0.538993		0.538993
0.097		0.558217		0.538993		0.538993		0.538993
0.098		0.558017		0.538993		0.538993		0.538993
0.099		0.557829		0.538993		0.538993		0.538993
0.1		0.557688		0.538993		0.538993		0.538993
0.101		0.557522		0.538993		0.538993		0.538993
0.102		0.557365		0.538993		0.538993		0.538993
0.103		0.557194		0.538993		0.538993		0.538993
0.104		0.556997		0.538993		0.538993		0.538993
0.105		0.556792		0.538993		0.538993		0.538993
0.106		0.556606		0.538993		0.538993		0.538993
0.107		0.556431		0.538993		0.538993		0.538993
0.108		0.55622		0.538993		0.538993		0.538993
0.109		0.555507		0.538993		0.538993		0.538993
0.11		0.554728		0.538993		0.538993		0.538993
0.111		0.553941		0.538993		0.538993		0.538993
0.112		0.553153		0.538993		0.538993		0.538993
0.113		0.55234		0.538993		0.538993		0.538993
0.114		0.551544		0.538993		0.538993		0.538993
0.115		0.550737		0.538993		0.538993		0.538993
0.116		0.549866		0.538993		0.538993		0.538993
0.117		0.548936		0.538993		0.538993		0.538993
0.118		0.547923		0.538993		0.538993		0.538993
0.119		0.546828		0.538993		0.538993		0.538993
0.12		0.545643		0.538993		0.538993		0.538993
0.121		0.544343		0.538993		0.538993		0.538993
0.122		0.542881		0.538993		0.538993		0.538993
0.123		0.541189		0.538993		0.538993		0.538993
0.124		0.539227		0.538993		0.538993		0.538993
0.125		0.536945		0.538993		0.538993		0.538993
0.126		0.533774		0.538993		0.538993		0.538993
0.127		0.530256		0.538993		0.538993		0.538993
0.128		0.526225		0.538993		0.538993		0.538993
0.129		0.521588		0.538993		0.538993		0.538993
0.13		0.515537		0.538993		0.538993		0.538993
0.131		0.506582		0.538993		0.538993		0.538993
0.132		0.497339		0.538993		0.538993		0.538993
0.133		0.488607		0.538993		0.538993		0.538993
0.134		0.480354		0.538993		0.538993		0.538993
0.135		0.472719		0.538993		0.538993		0.538993
